City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Clermont,FR,2021-02-14 09:11:40,49.5,2.4167,26.6,54,0,13.8
210,Zhangye,CN,2021-02-14 09:11:40,38.9342,100.4517,37.56,67,0,9.57
211,Kudat,MY,2021-02-14 09:11:40,6.8837,116.8477,80.6,78,40,8.05
212,Hays,US,2021-02-14 09:07:14,30.0502,-98.0336,28.99,93,100,3.0
213,Margate,GB,2021-02-14 09:11:40,51.3813,1.3862,33.01,46,88,8.01
214,Indianola,US,2021-02-14 09:11:41,41.3581,-93.5574,-2.99,59,90,10.36
215,College,US,2021-02-14 09:11:41,64.8569,-147.8028,-16.6,76,1,1.32
216,Geraldton,AU,2021-02-14 09:11:41,-28.7667,114.6,75.2,78,90,9.22
217,Cartagena,CO,2021-02-14 09:07:21,10.3997,-75.5144,80.6,89,40,5.75
218,Derzhavinsk,KZ,2021-02-14 09:11:41,51.1,66.3167,29.03,94,100,14.07
219,Chuy,UY,2021-02-14 09:11:41,-33.6971,-53.4616,67.33,94,69,4.32
220,Bubaque,GW,2021-02-14 09:11:42,11.2833,-15.8333,76.35,64,11,6.51
221,Kashi,CN,2021-02-14 09:11:42,39.4547,75.9797,51.8,20,20,11.18
222,Chernyshevskiy,RU,2021-02-14 09:11:42,63.0128,112.4714,-29.94,85,47,2.86
223,Faya,SA,2021-02-14 09:11:42,18.3851,42.4509,71.6,30,20,11.5
224,Dalbandin,PK,2021-02-14 09:11:42,28.8947,64.4101,78.75,14,0,1.66
225,Half Moon Bay,US,2021-02-14 09:11:43,37.4636,-122.4286,50.0,81,40,20.71
226,Comodoro Rivadavia,AR,2021-02-14 09:11:43,-45.8667,-67.5,57.2,72,0,3.44
227,Governador Valadares,BR,2021-02-14 09:11:43,-18.8511,-41.9494,68.36,92,100,1.74
228,Henties Bay,NA,2021-02-14 09:11:43,-22.116,14.2845,68.27,84,98,6.73
229,Cockburn Town,TC,2021-02-14 09:11:43,21.4612,-71.1419,77.97,77,0,20.47
230,Sibolga,ID,2021-02-14 09:07:10,1.7427,98.7792,85.91,62,44,6.02
231,Naze,JP,2021-02-14 09:11:44,28.3667,129.4833,69.8,94,75,10.36
232,Bethel,US,2021-02-14 09:06:58,41.3712,-73.414,25.0,80,90,3.44
233,Dong Xoai,VN,2021-02-14 09:11:44,11.5333,106.9167,88.11,41,54,7.83
234,Ayagoz,KZ,2021-02-14 09:11:44,47.9714,80.4392,23.9,93,0,4.18
235,Victoria,HK,2021-02-14 09:11:44,22.2855,114.1577,73.0,69,3,1.01
236,Hobyo,SO,2021-02-14 09:11:44,5.3505,48.5268,81.7,59,33,16.8
237,Butaritari,KI,2021-02-14 09:11:45,3.0707,172.7902,81.16,79,97,15.9
238,Winnemucca,US,2021-02-14 09:11:45,40.973,-117.7357,30.2,86,90,4.61
239,Bahia Blanca,AR,2021-02-14 09:11:45,-38.7196,-62.2724,68.52,79,99,6.24
240,Mayor Pablo Lagerenza,PY,2021-02-14 09:11:45,-19.9309,-60.7718,72.66,91,89,3.31
241,Awbari,LY,2021-02-14 09:11:45,26.5921,12.7805,68.74,23,0,5.93
242,Banda Aceh,ID,2021-02-14 09:11:45,5.5577,95.3222,85.37,68,79,14.12
243,Hare Bay,CA,2021-02-14 09:11:46,48.8499,-54.0148,17.6,86,32,9.22
244,Artyom,AZ,2021-02-14 09:11:46,40.4723,50.333,46.4,71,90,13.8
245,Mlonggo,ID,2021-02-14 09:11:46,-6.5333,110.7,82.4,78,40,12.66
246,Zyryanka,RU,2021-02-14 09:11:46,65.75,150.85,-16.83,88,100,10.38
247,Morondava,MG,2021-02-14 09:11:46,-20.2833,44.2833,80.83,75,100,13.76
248,Porbandar,IN,2021-02-14 09:11:47,21.6422,69.6093,79.72,47,0,11.97
249,Bolshaya Martynovka,RU,2021-02-14 09:11:47,47.271,41.6679,22.23,81,92,21.27
250,Shenjiamen,CN,2021-02-14 09:11:47,29.9576,122.298,55.63,88,45,5.1
251,San Juan,AR,2021-02-14 09:11:47,-31.5375,-68.5364,75.76,39,1,4.27
252,Liuhe,CN,2021-02-14 09:11:48,42.2401,125.7172,21.29,97,100,8.34
253,Hvide Sande,DK,2021-02-14 09:11:48,56.0045,8.1294,25.0,93,40,5.75
254,Esperance,AU,2021-02-14 09:11:08,-33.8667,121.9,82.4,42,77,19.57
255,Dongsheng,CN,2021-02-14 09:11:48,39.8161,109.9776,24.48,71,54,20.49
256,Abbotsford,CA,2021-02-14 09:10:59,49.058,-122.2526,30.99,64,90,4.61
257,Manutuke,NZ,2021-02-14 09:11:49,-38.6833,177.9167,69.01,73,100,6.55
258,Walvis Bay,NA,2021-02-14 09:09:08,-22.9575,14.5053,68.0,88,75,3.44
259,Boden,SE,2021-02-14 09:11:49,65.8252,21.6886,10.4,85,0,2.3
260,Buena Vista,US,2021-02-14 09:11:49,43.4203,-83.8986,8.01,85,1,6.42
261,Barajevo,RS,2021-02-14 09:11:49,44.5789,20.4158,27.0,80,75,8.05
262,Saint George,US,2021-02-14 09:07:41,37.1041,-113.5841,44.01,75,75,6.91
263,Mani,CO,2021-02-14 09:11:50,4.8172,-72.2886,80.26,60,91,5.35
264,Mahebourg,MU,2021-02-14 09:11:50,-20.4081,57.7,84.2,65,40,11.5
265,Kerch,UA,2021-02-14 09:11:50,45.3583,36.4758,27.86,89,56,17.4
