City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
219,Rantepao,ID,82.62,broken clouds,-2.9701,119.8978,Hotel Luta Resort
222,Guatire,VE,78.8,few clouds,10.4762,-66.5427,Parque Residencial Canaima I
224,Chuy,UY,68.81,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
225,Lubao,PH,82.4,broken clouds,14.9167,120.55,Hacienda Gracia
226,East London,ZA,71.42,light rain,-33.0153,27.9116,Tu Casa
228,Chipinge,ZW,65.59,light rain,-20.1883,32.6236,Chipinge Breeze Lodge
229,Bonthe,SL,78.13,few clouds,7.5264,-12.505,Bonthe Holiday Village
230,Isangel,VU,85.57,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
235,Guarapari,BR,78.8,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
238,Mana,GF,77.09,overcast clouds,5.6592,-53.7767,LE SAMANA
239,Prabumulih,ID,75.76,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
240,Matara,LK,80.85,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
242,Atambua,ID,81.43,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
249,Carnarvon,AU,84.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
250,Samarai,PG,85.26,overcast clouds,-10.6167,150.6667,Nuli Sapi
256,Bambous Virieux,MU,77.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
257,Luang Prabang,LA,66.2,clear sky,19.8856,102.1347,Villa Oasis
259,Bocanda,CI,75.0,scattered clouds,7.0626,-4.4995,Hôtel les Résidences Mohyé
262,Bilma,NE,66.0,clear sky,18.6853,12.9164,Expeditions Ténére voyages
264,San Juan,AR,73.2,broken clouds,-31.5375,-68.5364,Hotel Provincial
265,Cidreira,BR,69.94,overcast clouds,-30.1811,-50.2056,Hotel Castelo
267,Teseney,ER,70.63,clear sky,15.11,36.6575,Sabrin Hotel
268,Namatanai,PG,85.41,light rain,-3.6667,152.4333,Namatanai Hotel
269,Alice Springs,AU,87.8,clear sky,-23.7,133.8833,Desert Palms Alice Springs
271,Grand-Santi,GF,70.12,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
273,Hithadhoo,MV,82.4,scattered clouds,-0.6,73.0833,Scoop Guest House
276,Praya,CV,69.8,few clouds,14.9215,-23.5087,LT Aparthotel
282,Buala,SB,83.86,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
287,Fare,PF,82.0,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
289,Boyolangu,ID,85.44,broken clouds,-8.1181,111.8935,Yos ega cv
290,Chaozhou,CN,73.4,clear sky,23.6651,116.6379,Seven Corner View Homestay
295,Labuhan,ID,83.26,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
296,Acapulco,MX,75.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
299,Ipixuna,BR,77.0,broken clouds,-1.7625,-48.8043,Casa da Oscarina
301,Nagua,DO,73.0,clear sky,19.3832,-69.8474,Hotel Cambri
302,Kirakira,SB,84.45,broken clouds,-10.4544,161.9205,SanBiz Lodge
304,Nkpor,NG,76.53,scattered clouds,6.1516,6.8446,First choice Hotel
307,Codrington,AU,68.7,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
314,Kavieng,PG,84.69,clear sky,-2.5744,150.7967,Nusa Island Retreat
317,Charlestown,AU,73.0,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
319,Sao Jose Da Coroa Grande,BR,78.3,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
320,Jacareacanga,BR,72.79,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
322,Kolondieba,ML,78.94,scattered clouds,11.0882,-6.8926,Hotel Dakan
